long1,long2,lat1,lat2
94.46747289,79.20652979,26.06285728,30.15671305
94.46747289,85.60953247,26.06285728,25.67923918
94.46747289,88.4741533,26.06285728,27.57033606
94.46747289,94.67558849,26.06285728,28.03614313
94.46747289,94.46747289,26.06285728,26.06285728
94.46747289,93.87771148,26.06285728,24.73536481
94.46747289,92.83318176,26.06285728,23.30762901
94.46747289,91.74111371,26.06285728,23.74742752
94.46747289,91.27773988,26.06285728,25.53600199
94.46747289,92.82711013,26.06285728,26.35555846
94.46747289,87.98549287,26.06285728,23.80544792
94.46747289,85.56426683,26.06285728,23.65610605
94.46747289,84.43079273,26.06285728,20.51269293
94.46747289,82.04110311,26.06285728,21.26650484
94.46747289,78.28926027,26.06285728,23.53787145
94.46747289,71.59969939,26.06285728,22.68350602
94.46747289,72.21907478,26.06285728,20.51579461
94.46747289,73.06896755,26.06285728,20.1941485
94.46747289,76.10762442,26.06285728,19.45157685
94.46747289,79.57313889,26.06285728,16.59309563
94.46747289,76.16681726,26.06285728,14.71046095
94.46747289,74.04940785,26.06285728,15.36400472
94.46747289,72.9623108,26.06285728,9.985515104
94.46747289,76.4077955,26.06285728,10.45270542
94.46747289,78.40792811,26.06285728,11.01707933
94.46747289,79.91431909,26.06285728,11.95185154
94.46747289,92.9608613,26.06285728,11.18065072
94.46747289,#N/A,26.06285728,#N/A
94.46747289,#N/A,26.06285728,#N/A
94.46747289,#N/A,26.06285728,#N/A
94.46747289,#N/A,26.06285728,#N/A
94.46747289,#N/A,26.06285728,#N/A
93.87771148,76.33243846,24.73536481,34.63371238
93.87771148,75.41511227,24.73536481,30.84273641
93.87771148,76.77992395,24.73536481,30.72953968
93.87771148,80.56544756,24.73536481,26.92348143
93.87771148,76.33989659,24.73536481,29.19864358
93.87771148,77.11437715,24.73536481,28.64399342
93.87771148,73.84966968,24.73536481,26.58443396
93.87771148,79.20652979,24.73536481,30.15671305
93.87771148,85.60953247,24.73536481,25.67923918
93.87771148,88.4741533,24.73536481,27.57033606
93.87771148,94.67558849,24.73536481,28.03614313
93.87771148,94.46747289,24.73536481,26.06285728
93.87771148,93.87771148,24.73536481,24.73536481
93.87771148,92.83318176,24.73536481,23.30762901
93.87771148,91.74111371,24.73536481,23.74742752
93.87771148,91.27773988,24.73536481,25.53600199
93.87771148,92.82711013,24.73536481,26.35555846
93.87771148,87.98549287,24.73536481,23.80544792
93.87771148,85.56426683,24.73536481,23.65610605
93.87771148,84.43079273,24.73536481,20.51269293
93.87771148,82.04110311,24.73536481,21.26650484
93.87771148,78.28926027,24.73536481,23.53787145
93.87771148,71.59969939,24.73536481,22.68350602
93.87771148,72.21907478,24.73536481,20.51579461
93.87771148,73.06896755,24.73536481,20.1941485
93.87771148,76.10762442,24.73536481,19.45157685
